name,bikes,stands
00055 - SAINT-SERNIN - G. ARNOULT,15,0
LIDL BEŽIGRAD,6,14
2010 - CONFLUENCE / DARSE,10,12
5015 - FULCHIRON,2,16
SMITHFIELD NORTH,30,0
010- PICASSO,23,17
008_PLAZA DE ITALIA,12,3
231 - KERSBEEK,11,8
32001 - COUZON - CENTRE,12,5
198_CALLE_FONTANARS_DELS_AFORINS,8,12
PARNELL SQUARE NORTH,8,12
6004 - FOCH,3,17
50019 - CER19 - RUE DES LILAS,10,6
00030 - NATIONS (CB),8,7
7035 - MARSEILLE / UNIVERSITÉ,32,6
003_PLAZA_MUSICO_LOPEZ_CHAVARRI,19,1
CLONMEL STREET,2,31
8149-391 MICHELET,0,17
#00053-LUDWIG VAN BEETHOVEN,7,10
10120 - SALENGRO / DESCARTES,12,3
5016 - POINT DU JOUR / GRANGES,10,3
56105 - ERA05- BAS NOYER (CB),4,14
00195 - LARROUSSE - RIEUX,5,13
AVONDALE ROAD,1,34
00029 - VALADE,4,17
233_SAN_JUAN_BOSCO_SANTIAGO_RUSIÑOL,10,5
194_CALLE PARQUE DE DOÑANA,16,4
9013 - QUAI PAUL SÉDALLIAN,19,0
126_AVENIDA REINA MERCEDES,4,21
00280 - CHARBONNIERE,16,1
ŠMARTINSKI PARK,2,18
10028 - ECOLE DE MUSIQUE,13,11
50021 - CER21 - DALLE PIÉTONNE GRAND CENTRE,13,6
122 - GARE D'ETTERBEEK,11,18
SAVSKO NASELJE 1-ŠMARTINSKA CESTA,4,16
001 - LEOPOLD II,4,16
00156 - METRO EMPALOT,12,6
00242 -  RAIMBAUD - COLETTE,7,9
6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,2,20
16 - BEAUREGARD,2,9
00224 - CAMPUS SUPAERO,11,9
073_PLAZA SAN AGUSTIN,11,4
BORNE DE TEST LYON (PLAISIR),1,0
02 - REPUBLIQUE,2,12
212 - THEO LAMBERT,15,10
JAMES STREET EAST,2,28
56104 - ERA04 - LA CHALLE (CB),8,15
#00024-WEICKER,2,15
08 - ROND POINT HOTEL DE VILLE,33,0
28 - SCHUMAN LEFEB,13,2
00229 - RANGUEIL IUT,13,5
05- HOTEL DE VILLE,4,16
10011 - GRATTE-CIEL,5,0
15002 - ST PRIEST - CITE BERLIET,11,9
100_PASEO CATALINA RIBERA,19,1
096_CALLE BETIS,18,1
038-RICORDEAU,18,22
132_CALLE PAEZ DE RIVERA,6,13
18- PREFECTURE,10,10
10005 - 11 NOVEMBRE,18,17
4012 - PLACE ADRIEN GODIEN,4,26
MOUNT STREET LOWER,9,31
北新町１丁目 KITASHIN-MACHI 1,10,6
333 - TRACTEBEL,9,16
184 - PHILIPPE BAUCQ,8,17
30 - XAVIER MARMIER,6,6
256_MIGUEL MONTORO,3,26
11004 - CALUIRE - BRANLY / PASTEUR,0,15
06 - AVENUE DE LA BRECHE,5,14
066-CHANZY,7,8
082_CALLE LUIS MONTOTO,10,7
00154 - GALLOIS,5,15
211_CALLE_FRAY_JUNÍPERO_SERRA_ESQ_CALLE_VALL_D'UIX,15,0
CHRISTCHURCH PLACE,19,1
6254-ROME - BERLIOZ - ITALIE,0,9
50008 - CER08 - AXE MAJEUR (CB),7,10
00096 - MEDIATHEQUE,4,21
202_AVENIDA MUJER TRABAJADORA,12,7
MÅRTENSTORGET,15,17
02 - SQUARE BOUCHOT,1,9
1343 - FLAMMARION GROBET,0,0
00065 - VERDIER - GRAND ROND,9,18
TELEMACH - GLAVNI TRG - STARI PERON,16,3
098_SANTOS JUSTO Y PASTOR,3,11
360 - STOCKEL/STOKKEL,13,10
186 - GENOT,9,8
00029 - VELODROME (CB),7,17
16002 - VÉNISSIEUX - LÉVY / VIENNE,8,10
02- LES HALLES,12,8
3009 - MUSEE AFRICAIN,3,19
00022 - CARNOT - PLACE ROLAND,4,16
167 - CHARLES V/KAREL V,11,11
305 - PETER BENOIT,16,9
121-VICTOR RICHARD,0,15
ČRNUČE,12,8
10122 - VERDUN / DESGRAND,18,3
076_CAMPOAMOR II,10,9
050 - RIBAUCOURT,21,4
GRANTHAM STREET,2,28
093 - CLOVIS,11,7
226_AVENIDA DOCTOR EMILIO LEMOS,1,14
103_AVENIDA EDUARDO DATO,6,14
016_CALLE DE MANUEL VILLALOBOS,6,14
00236 - TOEC - LEMIRE,6,14
16001 - VENISSIEUX - PLACE ROMAND,15,5
10- PALAIS DE JUSTICE,14,6
7038 - PLACE STALINGRAD,13,0
10091 - CHÂTEAU GAILLARD / FORT,9,7
BANTORGET,18,7
116_C/ DR. VICENTE ZARAGOZA,4,10
